iter	Passed	Remaining
0	153	153515
1	157	78660
2	160	53430
3	163	40759
4	166	33163
5	168	27995
6	170	24181
7	171	21325
8	173	19102
9	174	17310
10	176	15829
11	177	14595
12	178	13563
13	180	12686
14	181	11910
15	182	11215
16	183	10601
17	184	10061
18	185	9573
19	186	9134
20	187	8729
21	188	8363
22	188	8027
23	189	7722
24	190	7438
25	191	7177
26	192	6940
27	193	6718
28	194	6512
29	195	6317
30	196	6130
31	196	5955
32	197	5796
33	198	5639
34	199	5490
35	199	5350
36	200	5217
37	201	5091
38	201	4972
39	202	4859
40	203	4751
41	203	4649
42	204	4551
43	205	4458
44	205	4368
45	206	4289
46	207	4209
47	208	4134
48	209	4059
49	209	3986
50	210	3916
51	211	3851
52	212	3788
53	212	3725
54	213	3665
55	214	3607
56	214	3552
57	215	3499
58	216	3446
59	216	3395
60	217	3346
61	218	3298
62	218	3252
63	219	3208
64	220	3164
65	220	3125
66	221	3088
67	222	3049
68	223	3012
69	223	2975
70	224	2940
71	225	2904
72	226	2870
73	226	2837
74	227	2804
75	228	2772
76	228	2741
77	229	2711
78	230	2682
79	230	2653
80	231	2624
81	232	2597
82	232	2567
83	233	2541
84	233	2515
85	234	2490
86	234	2466
87	235	2444
88	236	2421
89	237	2401
90	238	2378
91	238	2357
92	239	2336
93	240	2315
94	240	2295
95	241	2274
96	242	2254
97	242	2235
98	243	2216
99	244	2197
100	244	2179
101	245	2161
102	246	2144
103	246	2127
104	247	2110
105	248	2094
106	248	2077
107	249	2062
108	250	2048
109	251	2033
110	252	2019
111	253	2006
112	253	1991
113	254	1977
114	255	1962
115	255	1948
116	256	1933
117	256	1920
118	257	1906
119	258	1893
120	258	1880
121	259	1866
122	260	1854
123	260	1842
124	261	1830
125	262	1818
126	262	1805
127	263	1794
128	264	1782
129	264	1773
130	265	1763
131	266	1753
132	267	1742
133	267	1731
134	268	1721
135	269	1711
136	270	1700
137	270	1691
138	271	1681
139	272	1671
140	272	1661
141	273	1650
142	273	1640
143	274	1631
144	275	1622
145	275	1613
146	276	1604
147	277	1595
148	277	1586
149	278	1578
150	279	1572
151	280	1564
152	281	1556
153	281	1548
154	282	1540
155	283	1532
156	283	1524
157	284	1516
158	285	1508
159	285	1500
160	286	1492
161	286	1484
162	287	1477
163	288	1469
164	288	1462
165	289	1455
166	290	1448
167	290	1440
168	291	1433
169	292	1427
170	292	1420
171	294	1415
172	294	1409
173	295	1403
174	296	1397
175	297	1390
176	297	1384
177	298	1378
178	299	1371
179	299	1365
180	300	1359
181	301	1353
182	301	1347
183	302	1340
184	303	1334
185	303	1328
186	304	1323
187	305	1317
188	305	1311
189	306	1305
190	306	1300
191	307	1295
192	308	1291
193	309	1285
194	310	1280
195	310	1275
196	311	1270
197	312	1265
198	313	1259
199	313	1254
200	314	1249
201	314	1244
202	315	1239
203	316	1234
204	316	1229
205	317	1224
206	318	1219
207	318	1214
208	319	1209
209	320	1204
210	320	1200
211	321	1195
212	322	1191
213	323	1187
214	324	1183
215	324	1179
216	325	1174
217	326	1170
218	326	1165
219	327	1161
220	328	1157
221	328	1152
222	329	1148
223	330	1143
224	330	1139
225	331	1135
226	332	1131
227	332	1127
228	333	1122
229	334	1119
